age,temperature
-61.0,3.6
-33.0,4.0
6.0,2.4
50.0,-1.0
66.0,-1.3
88.0,-0.6
140.0,-1.8
178.0,-3.4
225.0,-1.4
261.0,-3.7
326.0,-1.8
357.0,0.9
392.0,-0.6
449.0,-1.3
489.0,2.6
516.0,0.5
558.0,0.8
589.0,2.3
623.0,-0.1
669.0,1.7
699.0,-1.6
726.0,1.9
793.0,-1.4
832.0,-2.8
870.0,2.3
928.0,-1.6
962.0,-0.1
994.0,-0.1
1048.0,1.5
1092.0,2.2
1127.0,2.0
1175.0,-0.6
1218.0,2.3
1257.0,1.0
1310.0,-0.1
1341.0,0.3
1384.0,0.0
1445.0,1.5
1483.0,-1.8
1533.0,-1.4
1592.0,1.0
1635.0,0.3
1674.0,0.1
1735.0,1.6
1779.0,-2.4
1827.0,-1.2
1891.0,-1.4
1932.0,-2.1
1973.0,-1.1
2038.0,-1.6
2074.0,0.6
2126.0,0.8
2192.0,-1.3
2235.0,0.2
2285.0,-0.3
2347.0,-0.5
2397.0,-3.3
2460.0,0.3
2530.0,2.1
2569.0,-1.7
2619.0,-2.8
2677.0,-3.1
2710.0,0.9
2835.0,0.1
2853.0,2.9
2887.0,1.3
3067.0,1.0
3099.0,-2.4
3196.0,-0.3
3267.0,-0.1
3339.0,1.0
3447.0,-1.1
3553.0,1.1
3688.0,0.5
3790.0,-1.3
3823.0,0.2
3893.0,1.8
3962.0,1.2
4065.0,-0.5
4167.0,-2.0
4237.0,-0.4
4306.0,-0.7
4341.0,-1.4
4480.0,-1.1
4583.0,-1.3
4652.0,-0.1
4687.0,1.4
4824.0,0.4
4858.0,0.2
4925.0,-1.0
4994.0,0.3
5094.0,0.8
5200.0,0.1
5270.0,-0.6
5444.0,0.2
5561.0,-2.1
5668.0,0.5
5737.0,-0.4
5842.0,0.0
5911.0,0.6
5982.0,-0.4
6089.0,-0.9
6197.0,-1.2
6270.0,0.2
6345.0,0.5
6419.0,-0.1
6530.0,-1.1
6642.0,0.3
6753.0,1.2
6826.0,-0.5
6899.0,-1.1
7008.0,0.4
7118.0,1.8
7191.0,-0.8
7309.0,0.0
7384.0,0.5
7459.0,-1.4
7534.0,0.8
7645.0,-0.1
7716.0,-0.4
7824.0,0.2
7901.0,0.1
7976.0,-2.3
8090.0,-0.8
8204.0,0.3
8283.0,1.2
8359.0,-0.5
8395.0,0.1
8470.0,-0.8
8544.0,-0.3
8657.0,-0.4
8735.0,0.7
8852.0,1.5
8964.0,-1.2
9075.0,1.1
9185.0,-0.2
9222.0,-0.1
9354.0,-0.1
9428.0,1.6
9537.0,1.4
9612.0,1.3
9686.0,1.9
9704.0,-0.1
9798.0,-0.1
9883.0,1.8
9969.0,1.6
10068.0,1.3
10156.0,0.1
10243.0,2.2
10332.0,2.2
10423.0,1.7
10503.0,0.3
10558.0,1.1
10612.0,1.3
10702.0,0.7
10792.0,0.5
10882.0,0.0
10971.0,0.9
11163.0,1.2
11261.0,1.3
11352.0,0.6
11522.0,1.4
11540.0,-0.1
11635.0,1.4
11731.0,0.3
11922.0,0.6
12017.0,-1.0
12113.0,-1.0
12308.0,-1.4
12417.0,-1.7
12461.0,-1.8
12526.0,-0.2
12743.0,-2.5
12856.0,-3.5
12982.0,-2.6
13242.0,-0.6
13358.0,-2.8
13477.0,-1.7
13646.0,-2.6
13741.0,-2.3
13825.0,-3.6
13976.0,-2.3
14357.0,-1.2
14595.0,-2.4
14712.0,-0.5
14830.0,-3.3
15079.0,-2.0
15203.0,-3.3
15328.0,-3.5
15455.0,-3.4
15706.0,-2.9
15826.0,-1.6
16157.0,-3.1
16242.0,-3.1
16380.0,-4.1
16522.0,-5.4
16834.0,-5.1
16997.0,-5.8
17160.0,-6.8
17389.0,-7.1
17487.0,-6.4
17650.0,-5.4
17682.0,-6.1
17813.0,-5.7
18107.0,-7.8
18139.0,-6.8
18303.0,-8.1
18466.0,-7.8
18808.0,-7.2
18987.0,-8.0
19377.0,-7.6
19558.0,-8.8
19593.0,-8.2
19875.0,-8.1
20053.0,-8.2
20194.0,-6.0
20433.0,-7.1
20599.0,-7.0
20763.0,-7.8
20975.0,-8.0
21077.0,-8.0
21111.0,-6.9
21282.0,-7.1
21416.0,-8.1
21548.0,-7.0
22000.0,-6.9
22255.0,-8.0
22403.0,-7.3
22657.0,-8.5
22760.0,-8.4
22928.0,-6.5
23104.0,-6.5
23383.0,-7.1
23468.0,-7.3
23643.0,-7.8
23845.0,-5.7
24219.0,-7.8
24344.0,-8.7
24430.0,-8.4
24650.0,-8.1
25069.0,-7.3
25294.0,-8.5
25518.0,-7.2
25946.0,-7.2
26172.0,-7.4
26543.0,-5.4
26770.0,-7.5
26923.0,-7.6
27016.0,-8.2
27481.0,-5.7
27701.0,-5.2
27900.0,-7.7
28298.0,-7.3
28490.0,-6.1
28685.0,-7.5
28877.0,-6.4
29033.0,-6.3
29236.0,-6.3
29434.0,-5.5
29816.0,-6.7
30013.0,-6.8
30151.0,-6.1
30529.0,-7.6
30722.0,-6.7
30914.0,-8.1
31284.0,-6.0
31478.0,-7.7
31677.0,-8.2
32084.0,-6.5
32287.0,-6.0
32490.0,-7.5
32805.0,-6.3
33037.0,-7.1
33236.0,-6.6
33473.0,-6.1
33840.0,-5.2
34047.0,-6.0
34252.0,-6.3
34654.0,-6.3
35089.0,-6.9
35489.0,-4.0
35681.0,-5.9
35862.0,-6.8
36060.0,-5.5
36451.0,-6.0
36647.0,-6.6
36837.0,-6.7
37197.0,-4.9
37389.0,-4.6
37568.0,-4.6
38086.0,-3.6
38247.0,-5.9
38547.0,-6.5
38666.0,-5.8
38808.0,-4.6
39111.0,-4.4
39260.0,-5.6
39408.0,-5.4
39777.0,-5.7
39979.0,-7.1
