age,CH4
13.400000000000091,907.0
125.7,784.47
129.6,761.7
151.2,710.4896326064315
184.3,726.8
202.1,695.6475972059598
207.3,682.7
258.1,679.3078377117731
297.2,675.8858610269963
344.5,651.4369118487105
381.8,684.3
403.0,680.8545
458.9,670.1453218732297
478.1,644.3
533.4,669.6681366336045
538.6,667.8
553.5,680.389
667.8,666.7
677.8,668.9100188407475
735.9,679.5
742.3,643.3
861.3,663.9678815468976
869.3,647.0
896.9,647.9198051108326
939.4,640.2
946.1,636.2143933029341
1037.2,634.7
1091.9,633.2230109625757
1131.6,643.7
1217.1,642.6591808772952
1225.2,628.7
1248.4,634.871862418579
1337.8,634.9288889473967
1349.4,650.2330672936863
1430.8,631.3
1442.6,638.2916238905979
1526.9,631.7
1551.0,630.4379449692603
1619.6,610.2707955780755
1628.6,623.3
1677.3,623.4050770907194
1717.2,614.5
1726.4,623.0776818600252
1774.4,617.6147798151287
1792.9,613.0
1907.0,613.3
1951.3,605.4002909490575
1994.6,599.2280749394779
2044.8,603.7
2104.1,590.6
2114.9,594.286
2118.9,608.7
2207.8,601.7
2274.6,597.3161696874603
2309.2,594.7
2321.0,594.1057316001336
2325.0,597.0
2388.7,592.8089958883166
2413.6,604.448179792878
2423.6,591.7
2481.8,578.8931934230469
2514.8,603.0
2518.8,590.0
2601.8,591.7
2624.1,586.36859676303
2716.5,590.3055
2719.5,580.0
2723.6,587.9
2734.8,582.5178369806955
2793.3,579.6288432873367
2800.1,578.3
2857.1,577.0200136170724
2877.3,577.0
2998.1,581.181800855747
3026.2,572.7
3106.8,576.0
3139.2,589.4574439488237
3210.1,567.7
3307.6,581.3
3359.7,589.1519454294372
3433.1,572.7
3506.2,569.8
3516.9,559.5379345187389
3572.1,574.5989507803213
3602.3,595.6684431026305
3613.6,577.7
3690.3,578.0
3696.5,580.7
3773.2,575.8749784922386
3891.9,573.5
3904.7,578.3925520908919
3964.5,575.126125176808
3986.2,548.9266811270388
3994.1,567.7
4078.8,575.7
4081.7,563.0
4141.5,570.3
4173.3,581.8659941491873
4305.3,577.3
4309.1,567.7
4325.4,579.021
4356.8,583.9938269752229
4365.9,569.7
4439.5,569.8833134034809
4460.6,568.1
4470.6,582.4490751596243
4473.5,561.7
4496.0,580.0672453995511
4550.8,559.5086694577855
4589.3,579.7013541099061
4624.5,559.6598180304123
4682.8,563.0
4701.3,559.6650634945149
4739.9,569.902
4755.3,563.3
4823.0,578.5428881212083
4849.0,569.9
4864.4,572.6807521035896
4868.3,567.7
5001.6,561.0
5067.6,563.0
5111.5,550.596
5149.1,552.665623977411
5156.2,558.3
5221.3,573.7062460830662
5269.5,560.7452669592928
5272.2,564.2
5337.1,576.8010969948504
5363.6,565.0
5418.1,570.1361674692101
5458.2,566.0
5473.7,579.5658931604398
5525.9,580.6022904827562
5549.6,563.4806101830657
5556.5,568.3
5597.9,591.1240422182876
5643.2,571.3
5650.5,577.6611796888615
5653.2,569.7
5656.9,581.4602015978347
5684.4,584.3
5712.0,586.1507089453205
5834.0,575.0
5870.2,569.9914556283996
5914.7,584.4424811314387
5989.0,564.0
5993.2,602.4646452339375
6022.0,591.7
6029.0,597.155473713234
6033.0,581.0
6058.0,596.6476977828823
6115.6,589.8184557152622
6251.6,590.127
6256.5,577.0
6263.5,583.1917792733993
6304.3,591.9237092632904
6341.2,577.1190040307245
6346.3,580.0
6350.2,581.0495945366813
6384.7,587.1366406161479
6403.6,587.7
6452.9,616.8977809245292
6502.8,601.5953347334334
6541.8,601.6308641391631
6598.4,599.0
6606.8,601.4185
6609.7,595.3
6636.7,606.5437037638878
6690.9,603.6
